Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	164.0 	3     	1612  	99.9% 
topic1 	160.0 	2     	2117  	100.0%
topic10	725.0 	3     	4123  	100.0%
topic11	197.0 	3     	1735  	100.0%
topic12	154.0 	3     	1220  	100.0%
topic13	143.0 	3     	1607  	100.0%
topic14	122.0 	3     	1764  	100.0%
topic15	688.0 	3     	2755  	100.0%
topic16	372.0 	3     	2148  	100.0%
topic17	357.0 	3     	1981  	100.0%
topic18	202.0 	3     	2066  	100.0%
topic19	166.0 	3     	1528  	100.0%
topic2 	190.0 	3     	1538  	100.0%
topic20	161.0 	3     	1803  	100.0%
topic21	1396.0	3     	4291  	100.0%
topic22	796.0 	3     	3994  	100.0%
topic23	349.0 	3     	1922  	100.0%
topic24	399.0 	3     	1277  	100.0%
topic25	142.0 	3     	1901  	100.0%
topic26	626.0 	3     	4507  	100.0%
topic27	185.0 	3     	2012  	100.0%
topic28	1217.0	3     	5261  	100.0%
topic29	203.0 	3     	2240  	100.0%
topic3 	323.0 	3     	1802  	100.0%
topic30	181.0 	3     	1697  	100.0%
topic31	147.0 	3     	2070  	100.0%
topic32	162.0 	3     	1938  	100.0%
topic33	155.0 	3     	1528  	100.0%
topic34	122.0 	3     	1806  	100.0%
topic35	149.0 	3     	1974  	100.0%
topic36	1374.0	3     	6684  	100.0%
topic37	118.0 	3     	1507  	100.0%
topic38	458.0 	3     	1770  	100.0%
topic39	138.0 	3     	2605  	100.0%
topic4 	147.0 	3     	1798  	100.0%
topic5 	147.0 	3     	1287  	100.0%
topic6 	185.0 	3     	1372  	100.0%
topic7 	181.0 	2     	1830  	100.0%
topic8 	674.0 	4     	2867  	100.0%
topic9 	561.0 	3     	1724  	100.0%
Total Avg delay: 358.4 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	147.0 	2     	1620  	99.9% 
topic1 	149.0 	3     	1684  	100.0%
topic10	160.0 	3     	1850  	100.0%
topic11	202.0 	3     	2006  	100.0%
topic12	154.0 	3     	1659  	100.0%
topic13	150.0 	3     	2204  	100.0%
topic14	121.0 	3     	1680  	100.0%
topic15	132.0 	3     	1537  	100.0%
topic16	151.0 	3     	2427  	100.0%
topic17	134.0 	3     	1883  	100.0%
topic18	141.0 	2     	1797  	100.0%
topic19	154.0 	3     	2423  	100.0%
topic2 	197.0 	3     	1759  	100.0%
topic20	158.0 	3     	1360  	100.0%
topic21	138.0 	3     	1655  	100.0%
topic22	166.0 	3     	1919  	100.0%
topic23	106.0 	3     	1301  	100.0%
topic24	186.0 	3     	1991  	100.0%
topic25	130.0 	3     	1682  	100.0%
topic26	131.0 	3     	1267  	100.0%
topic27	200.0 	3     	1966  	100.0%
topic28	170.0 	3     	1871  	100.0%
topic29	163.0 	3     	2177  	100.0%
topic3 	137.0 	2     	1829  	100.0%
topic30	175.0 	3     	1629  	100.0%
topic31	174.0 	2     	2376  	100.0%
topic32	158.0 	3     	1460  	100.0%
topic33	184.0 	2     	1935  	100.0%
topic34	146.0 	3     	1515  	100.0%
topic35	138.0 	3     	2046  	100.0%
topic36	186.0 	2     	1832  	100.0%
topic37	119.0 	3     	1483  	100.0%
topic38	168.0 	3     	1837  	100.0%
topic39	96.0  	2     	1607  	100.0%
topic4 	139.0 	3     	1334  	100.0%
topic5 	207.0 	2     	2110  	100.0%
topic6 	150.0 	3     	1787  	100.0%
topic7 	119.0 	3     	1234  	100.0%
topic8 	129.0 	2     	1730  	100.0%
topic9 	137.0 	3     	1641  	100.0%
Total Avg delay: 152.55 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	337.0 	3     	3897  	99.9% 
topic1 	137.0 	3     	1738  	100.0%
topic10	187.0 	3     	1915  	100.0%
topic11	160.0 	3     	1611  	100.0%
topic12	190.0 	3     	2198  	100.0%
topic13	257.0 	3     	2158  	100.0%
topic14	330.0 	3     	2127  	100.0%
topic15	309.0 	3     	2576  	100.0%
topic16	168.0 	3     	2056  	100.0%
topic17	177.0 	3     	1572  	100.0%
topic18	266.0 	3     	2115  	100.0%
topic19	260.0 	3     	1825  	100.0%
topic2 	210.0 	3     	1522  	100.0%
topic20	220.0 	3     	2289  	100.0%
topic21	231.0 	3     	1405  	100.0%
topic22	249.0 	3     	2159  	100.0%
topic23	201.0 	3     	1424  	100.0%
topic24	265.0 	3     	2087  	100.0%
topic25	301.0 	3     	2566  	100.0%
topic26	126.0 	3     	1746  	100.0%
topic27	166.0 	3     	1972  	100.0%
topic28	173.0 	2     	1839  	100.0%
topic29	179.0 	2     	1596  	100.0%
topic3 	196.0 	3     	1620  	100.0%
topic30	256.0 	3     	2490  	100.0%
topic31	135.0 	2     	1307  	100.0%
topic32	172.0 	3     	1968  	100.0%
topic33	337.0 	3     	2796  	100.0%
topic34	374.0 	3     	2909  	100.0%
topic35	331.0 	3     	1785  	100.0%
topic36	210.0 	3     	2935  	100.0%
topic37	169.0 	2     	2720  	100.0%
topic38	168.0 	3     	1385  	100.0%
topic39	913.0 	3     	3600  	100.0%
topic4 	296.0 	3     	2289  	100.0%
topic5 	409.0 	3     	3870  	100.0%
topic6 	204.0 	3     	2053  	100.0%
topic7 	295.0 	3     	2727  	100.0%
topic8 	169.0 	3     	1495  	100.0%
topic9 	199.0 	2     	1602  	100.0%
Total Avg delay: 248.3 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	209.0 	3     	1941  	99.9% 
topic1 	182.0 	3     	1951  	100.0%
topic10	131.0 	3     	1672  	100.0%
topic11	1195.0	2     	4696  	100.0%
topic12	224.0 	3     	1577  	100.0%
topic13	763.0 	3     	2432  	100.0%
topic14	179.0 	3     	1850  	100.0%
topic15	188.0 	2     	2287  	100.0%
topic16	131.0 	3     	1500  	100.0%
topic17	185.0 	3     	1750  	100.0%
topic18	762.0 	3     	2852  	100.0%
topic19	951.0 	3     	3237  	100.0%
topic2 	79.0  	2     	2461  	100.0%
topic20	470.0 	3     	3796  	100.0%
topic21	299.0 	3     	1687  	100.0%
topic22	152.0 	3     	1813  	100.0%
topic23	190.0 	3     	1967  	100.0%
topic24	164.0 	2     	1471  	100.0%
topic25	159.0 	3     	1704  	100.0%
topic26	1606.0	3     	3461  	100.0%
topic27	483.0 	3     	2647  	100.0%
topic28	249.0 	2     	2170  	100.0%
topic29	203.0 	3     	2051  	100.0%
topic3 	315.0 	3     	3539  	100.0%
topic30	156.0 	3     	3366  	100.0%
topic31	221.0 	3     	3910  	100.0%
topic32	145.0 	3     	1177  	100.0%
topic33	935.0 	3     	3754  	100.0%
topic34	115.0 	3     	2681  	100.0%
topic35	185.0 	3     	1805  	100.0%
topic36	141.0 	2     	1391  	100.0%
topic37	281.0 	3     	4378  	100.0%
topic38	86.0  	3     	3636  	100.0%
topic39	1147.0	3     	4219  	100.0%
topic4 	125.0 	2     	3093  	100.0%
topic5 	108.0 	3     	3438  	100.0%
topic6 	194.0 	3     	2062  	100.0%
topic7 	762.0 	2     	3393  	100.0%
topic8 	158.0 	3     	1678  	100.0%
topic9 	533.0 	2     	2239  	100.0%
Total Avg delay: 369.025 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	565.0 	3     	2928  	99.9% 
topic1 	150.0 	3     	1786  	100.0%
topic10	2694.0	3     	6362  	100.0%
topic11	136.0 	3     	3062  	100.0%
topic12	312.0 	3     	1690  	100.0%
topic13	89.0  	3     	3180  	100.0%
topic14	1503.0	3     	4140  	100.0%
topic15	306.0 	3     	1666  	100.0%
topic16	86.0  	3     	2510  	100.0%
topic17	435.0 	2     	3232  	100.0%
topic18	107.0 	3     	2056  	100.0%
topic19	291.0 	3     	2247  	100.0%
topic2 	329.0 	2     	2103  	100.0%
topic20	1962.0	3     	4991  	100.0%
topic21	323.0 	3     	2288  	100.0%
topic22	158.0 	3     	1918  	100.0%
topic23	640.0 	2     	3017  	100.0%
topic24	280.0 	2     	1812  	100.0%
topic25	149.0 	2     	2576  	100.0%
topic26	141.0 	3     	2097  	100.0%
topic27	148.0 	2     	1618  	100.0%
topic28	190.0 	2     	2698  	100.0%
topic29	3757.0	4     	9607  	100.0%
topic3 	1246.0	3     	3696  	100.0%
topic30	92.0  	3     	3374  	100.0%
topic31	167.0 	2     	1438  	100.0%
topic32	136.0 	2     	1532  	100.0%
