Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic28	273.0 	2     	2054  	100.0%
topic29	254.0 	2     	2412  	100.0%
topic3 	446.0 	2     	3363  	100.0%
topic30	149.0 	2     	2177  	100.0%
topic31	223.0 	2     	1875  	100.0%
topic32	292.0 	2     	2505  	100.0%
topic33	557.0 	2     	2565  	100.0%
topic34	191.0 	2     	2009  	100.0%
topic35	284.0 	2     	2271  	100.0%
topic36	199.0 	2     	1626  	100.0%
topic37	147.0 	2     	1400  	100.0%
topic38	176.0 	2     	1818  	100.0%
topic39	201.0 	2     	2067  	100.0%
topic4 	347.0 	2     	2732  	100.0%
topic5 	894.0 	2     	3468  	100.0%
topic6 	187.0 	2     	2015  	100.0%
topic7 	242.0 	2     	1964  	100.0%
topic8 	375.0 	2     	2783  	100.0%
topic9 	205.0 	2     	1674  	100.0%
Total Avg delay: 345.3 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	220.0 	2     	1973  	99.9% 
topic1 	674.0 	3     	2706  	100.0%
topic10	587.0 	3     	2544  	100.0%
topic11	133.0 	2     	1833  	100.0%
topic12	238.0 	3     	1732  	100.0%
topic13	464.0 	2     	2601  	100.0%
topic14	376.0 	2     	2399  	100.0%
topic15	284.0 	3     	1810  	100.0%
topic16	647.0 	2     	3278  	100.0%
topic17	136.0 	3     	2015  	100.0%
topic18	224.0 	2     	2294  	100.0%
topic19	320.0 	2     	1914  	100.0%
topic2 	243.0 	2     	1819  	100.0%
topic20	106.0 	2     	2151  	100.0%
topic21	198.0 	2     	2395  	100.0%
topic22	198.0 	2     	2706  	100.0%
topic23	218.0 	2     	1642  	100.0%
topic24	404.0 	2     	3036  	100.0%
topic25	1319.0	3     	3899  	100.0%
topic26	128.0 	2     	2030  	100.0%
topic27	170.0 	2     	1469  	100.0%
topic28	489.0 	3     	3222  	100.0%
topic29	145.0 	2     	4598  	100.0%
topic3 	161.0 	2     	2049  	100.0%
topic30	716.0 	2     	2504  	100.0%
topic31	220.0 	2     	1528  	100.0%
topic32	122.0 	2     	2741  	100.0%
topic33	161.0 	2     	1780  	100.0%
topic34	184.0 	2     	1009  	100.0%
topic35	209.0 	2     	1950  	100.0%
