Mosca server is up and running
CLIENT_CONN mqttjs_6c5cc19a {} 1462745482106
CLIENT_CONN mqttjs_31eceb96 {} 1462745482110
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_6c5cc19a 1462745482114
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_31eceb96 1462745482114
CLIENT_CONN mqttjs_2bcab3d6 {} 1462745482117
CLIENT_CONN mqttjs_acf253e1 {} 1462745482119
CLIENT_CONN mqttjs_f27e8d74 {} 1462745482120
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_2bcab3d6 1462745482122
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_acf253e1 1462745482122
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_f27e8d74 1462745482122
CLIENT_CONN mqttjs_349b87ff {} 1462745482122
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_349b87ff 1462745482126
CLIENT_CONN mqttjs_7d8ecead {} 1462745482127
CLIENT_SUB topic8 mqttjs_31eceb96 1462745482129
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_7d8ecead 1462745482130
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_31eceb96","topic":"topic8"} 1462745482130
CLIENT_SUB topic7 mqttjs_2bcab3d6 1462745482133
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_2bcab3d6","topic":"topic7"} 1462745482134
CLIENT_SUB topic5 mqttjs_7d8ecead 1462745482151
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_7d8ecead","topic":"topic5"} 1462745482152
CLIENT_CONN mqttjs_24ee253d {} 1462745482153
CLIENT_SUB topic4 mqttjs_349b87ff 1462745482154
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_24ee253d 1462745482155
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_349b87ff","topic":"topic4"} 1462745482155
CLIENT_CONN mqttjs_78206f1e {} 1462745482158
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_78206f1e 1462745482158
CLIENT_SUB topic1 mqttjs_6c5cc19a 1462745482160
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_6c5cc19a","topic":"topic1"} 1462745482161
CLIENT_SUB topic10 mqttjs_78206f1e 1462745482177
CLIENT_SUB topic2 mqttjs_24ee253d 1462745482177
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_78206f1e","topic":"topic10"} 1462745482178
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_24ee253d","topic":"topic2"} 1462745482178
CLIENT_SUB topic6 mqttjs_acf253e1 1462745482181
CLIENT_CONN mqttjs_540009fd {} 1462745482182
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_acf253e1","topic":"topic6"} 1462745482183
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_540009fd 1462745482183
CLIENT_SUB topic3 mqttjs_f27e8d74 1462745482187
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_f27e8d74","topic":"topic3"} 1462745482189
CLIENT_SUB topic9 mqttjs_540009fd 1462745482196
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_540009fd","topic":"topic9"} 1462745482196
CLIENT_CONN mqttjs_4d875264 {} 1462745487232
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_4d875264 1462745487232
CLIENT_CONN mqttjs_f9150986 {} 1462745487239
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_f9150986 1462745487240
CLIENT_CONN mqttjs_dc449e43 {} 1462745487241
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_dc449e43 1462745487241
CLIENT_PUB 39273 86 86 1462745487425
CLIENT_PUB 39273 87 87 1462745487425
CLIENT_PUB 39273 88 88 1462745487425
CLIENT_PUB 39273 89 89 1462745487425
CLIENT_PUB 39273 90 90 1462745487425
CLIENT_PUB 39273 91 91 1462745487425
CLIENT_PUB 39273 92 92 1462745487425
CLIENT_PUB 39273 93 93 1462745487546
CLIENT_PUB 39273 94 94 1462745487546
CLIENT_PUB 39273 95 95 1462745487546
CLIENT_PUB 39273 96 96 1462745487546
CLIENT_PUB 39273 97 97 1462745487546
CLIENT_PUB 39273 98 98 1462745487546
CLIENT_PUB 39273 99 99 1462745487546
CLIENT_PUB 39321 0 100 1462745487546
CLIENT_PUB 39321 1 101 1462745487547
CLIENT_PUB 39321 2 102 1462745487547
CLIENT_PUB 39321 3 103 1462745487547
CLIENT_PUB 39321 4 104 1462745487547
CLIENT_PUB 39321 5 105 1462745487547
CLIENT_PUB 39321 6 106 1462745487547
CLIENT_PUB 39321 7 107 1462745487547
CLIENT_PUB 39321 8 108 1462745487547
CLIENT_PUB 39321 9 109 1462745487547
CLIENT_PUB 39321 10 110 1462745487547
CLIENT_PUB 39321 11 111 1462745487547
CLIENT_PUB 39321 12 112 1462745487547
CLIENT_PUB 39321 13 113 1462745487547
CLIENT_PUB 39321 14 114 1462745487547
CLIENT_PUB 39321 15 115 1462745487547
CLIENT_PUB 39321 16 116 1462745487547
CLIENT_PUB 39321 17 117 1462745487547
CLIENT_PUB 39321 18 118 1462745487547
CLIENT_PUB 39321 19 119 1462745487547
CLIENT_PUB 39321 20 120 1462745487547
CLIENT_PUB 39321 21 121 1462745487547
CLIENT_PUB 39321 22 122 1462745487547
CLIENT_PUB 39321 23 123 1462745487547
CLIENT_PUB 39321 24 124 1462745487547
CLIENT_PUB 39321 25 125 1462745487547
CLIENT_PUB 39321 26 126 1462745487547
CLIENT_PUB 39321 27 127 1462745487547
CLIENT_PUB 39321 28 128 1462745487547
CLIENT_PUB 39321 29 129 1462745487547
CLIENT_PUB 39321 30 130 1462745487547
CLIENT_PUB 39321 31 131 1462745487547
CLIENT_PUB 39321 32 132 1462745487547
CLIENT_PUB 39321 33 133 1462745487547
CLIENT_PUB 39321 34 134 1462745487547
CLIENT_PUB 39321 35 135 1462745487547
CLIENT_PUB 39321 36 136 1462745487547
CLIENT_PUB 39321 37 137 1462745487547
CLIENT_PUB 39321 38 138 1462745487547
CLIENT_PUB 39321 39 139 1462745487547
CLIENT_PUB 39321 40 140 1462745487548
CLIENT_PUB 39321 41 141 1462745487548
CLIENT_PUB 39321 42 142 1462745487548
CLIENT_PUB 39321 43 143 1462745487548
CLIENT_PUB 39321 44 144 1462745487548
CLIENT_PUB 39321 45 145 1462745487548
CLIENT_PUB 39321 46 146 1462745487548
CLIENT_PUB 39321 47 147 1462745487548
CLIENT_PUB 39321 48 148 1462745487548
CLIENT_PUB 39321 49 149 1462745487548
CLIENT_PUB 39321 50 150 1462745487549
CLIENT_PUB 39321 51 151 1462745487549
CLIENT_PUB 39321 52 152 1462745487549
CLIENT_PUB 39321 53 153 1462745487549
CLIENT_PUB 39321 54 154 1462745487550
CLIENT_PUB 39321 55 155 1462745487550
CLIENT_PUB 39321 56 156 1462745487550
CLIENT_PUB 39321 57 157 1462745487550
CLIENT_PUB 39321 58 158 1462745487550
CLIENT_PUB 39321 59 159 1462745487550
CLIENT_PUB 39321 60 160 1462745487550
CLIENT_PUB 39321 61 161 1462745487550
CLIENT_PUB 39321 62 162 1462745487550
CLIENT_PUB 39321 63 163 1462745487550
CLIENT_PUB 39321 64 164 1462745487550
CLIENT_PUB 39321 65 165 1462745487550
CLIENT_PUB 39321 66 166 1462745487550
CLIENT_PUB 39321 67 167 1462745487550
CLIENT_PUB 39321 68 168 1462745487550
CLIENT_PUB 39321 69 169 1462745487550
CLIENT_PUB 39321 70 170 1462745487550
CLIENT_PUB 39321 71 171 1462745487550
