Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	117.0 	2     	1224  	99.9% 
topic1 	121.0 	2     	986   	100.0%
topic10	134.0 	2     	1068  	100.0%
topic11	183.0 	2     	1517  	100.0%
topic12	165.0 	2     	1268  	100.0%
topic13	112.0 	2     	1536  	100.0%
topic14	124.0 	2     	1185  	100.0%
topic15	147.0 	2     	1599  	100.0%
topic16	118.0 	2     	1244  	100.0%
topic17	138.0 	2     	1261  	100.0%
topic18	113.0 	2     	970   	100.0%
topic19	124.0 	2     	1360  	100.0%
topic2 	110.0 	2     	880   	100.0%
topic20	114.0 	2     	892   	100.0%
topic21	200.0 	2     	1402  	100.0%
topic22	119.0 	2     	1019  	100.0%
topic23	168.0 	2     	1656  	100.0%
topic24	179.0 	2     	1400  	100.0%
topic3 	189.0 	2     	1564  	100.0%
topic4 	184.0 	2     	1471  	100.0%
topic5 	132.0 	2     	1222  	100.0%
topic6 	114.0 	2     	1158  	100.0%
topic7 	116.0 	2     	1003  	100.0%
topic8 	142.0 	2     	1438  	100.0%
topic9 	184.0 	2     	1522  	100.0%
Total Avg delay: 141.88 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	213.0 	3     	1063  	99.9% 
topic1 	413.0 	2     	1578  	100.0%
topic10	225.0 	2     	1091  	100.0%
topic11	125.0 	2     	1548  	100.0%
topic12	345.0 	2     	2453  	100.0%
topic13	373.0 	2     	2120  	100.0%
topic14	199.0 	2     	2666  	100.0%
topic15	167.0 	2     	1167  	100.0%
topic16	151.0 	2     	1277  	100.0%
topic17	684.0 	2     	2441  	100.0%
topic18	164.0 	2     	1169  	100.0%
topic19	547.0 	3     	3257  	100.0%
topic2 	189.0 	2     	1331  	100.0%
topic20	212.0 	2     	879   	100.0%
topic21	280.0 	2     	2018  	100.0%
topic22	140.0 	2     	1218  	100.0%
topic23	121.0 	2     	982   	100.0%
topic24	192.0 	2     	1445  	100.0%
topic3 	139.0 	2     	1148  	100.0%
topic4 	134.0 	3     	1186  	100.0%
topic5 	153.0 	2     	1586  	100.0%
topic6 	127.0 	2     	1348  	100.0%
topic7 	918.0 	2     	3440  	100.0%
topic8 	109.0 	2     	1202  	100.0%
topic9 	144.0 	2     	1290  	100.0%
Total Avg delay: 258.56 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	179.0 	2     	2268  	99.9% 
topic1 	306.0 	2     	1882  	100.0%
topic10	113.0 	2     	1414  	100.0%
topic11	202.0 	2     	1388  	100.0%
topic12	178.0 	2     	1222  	100.0%
topic13	118.0 	2     	1050  	100.0%
topic14	288.0 	2     	1440  	100.0%
topic15	312.0 	2     	1135  	100.0%
topic16	332.0 	3     	1432  	100.0%
topic17	254.0 	2     	1628  	100.0%
topic18	229.0 	2     	1768  	100.0%
topic19	452.0 	3     	2846  	100.0%
topic2 	690.0 	2     	3058  	100.0%
topic20	158.0 	2     	2006  	100.0%
topic21	286.0 	2     	1280  	100.0%
topic22	191.0 	2     	1941  	100.0%
topic23	148.0 	2     	1043  	100.0%
topic24	315.0 	3     	1167  	100.0%
topic3 	312.0 	3     	1144  	100.0%
topic4 	323.0 	2     	2316  	100.0%
topic5 	180.0 	2     	978   	100.0%
topic6 	241.0 	2     	1682  	100.0%
topic7 	168.0 	2     	934   	100.0%
topic8 	107.0 	2     	1040  	100.0%
topic9 	350.0 	3     	1710  	100.0%
Total Avg delay: 257.28 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	159.0 	2     	1219  	99.9% 
topic1 	58.0  	2     	1299  	100.0%
topic10	153.0 	2     	1199  	100.0%
topic11	133.0 	2     	1262  	100.0%
topic12	150.0 	2     	1616  	100.0%
topic13	97.0  	2     	878   	100.0%
topic14	148.0 	2     	1211  	100.0%
topic15	65.0  	2     	1769  	100.0%
topic16	280.0 	2     	1290  	100.0%
topic17	702.0 	3     	2406  	100.0%
topic18	102.0 	2     	1167  	100.0%
topic19	153.0 	2     	1086  	100.0%
topic2 	225.0 	3     	1809  	100.0%
topic20	139.0 	2     	902   	100.0%
topic21	131.0 	2     	1018  	100.0%
topic22	166.0 	2     	1242  	100.0%
topic23	156.0 	2     	1439  	100.0%
topic24	93.0  	2     	1562  	100.0%
topic3 	114.0 	2     	1084  	100.0%
topic4 	118.0 	3     	1578  	100.0%
topic5 	84.0  	2     	1504  	100.0%
topic6 	93.0  	2     	1768  	100.0%
topic7 	278.0 	2     	1581  	100.0%
topic8 	98.0  	2     	1119  	100.0%
topic9 	114.0 	2     	1380  	100.0%
Total Avg delay: 160.36 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	325.0 	2     	1493  	99.9% 
topic1 	160.0 	2     	1348  	100.0%
topic10	138.0 	2     	1291  	100.0%
