Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	11.0  	1     	106   	100.0%
topic1 	13.0  	1     	118   	100.0%
topic10	18.0  	1     	174   	100.0%
topic11	19.0  	1     	309   	100.0%
topic12	15.0  	1     	158   	100.0%
topic13	17.0  	1     	159   	100.0%
topic14	16.0  	1     	184   	100.0%
topic15	18.0  	0     	207   	100.0%
topic16	20.0  	1     	270   	100.0%
topic17	21.0  	1     	276   	100.0%
topic18	20.0  	1     	300   	100.0%
topic19	21.0  	1     	327   	100.0%
topic2 	11.0  	1     	105   	100.0%
topic20	16.0  	1     	158   	100.0%
topic21	18.0  	1     	163   	100.0%
topic22	18.0  	1     	179   	100.0%
topic23	17.0  	1     	126   	100.0%
topic24	17.0  	1     	155   	100.0%
topic25	16.0  	1     	112   	100.0%
topic26	19.0  	1     	131   	100.0%
topic27	17.0  	1     	140   	100.0%
topic28	15.0  	1     	128   	100.0%
topic29	15.0  	1     	141   	100.0%
topic3 	12.0  	1     	100   	100.0%
topic30	16.0  	1     	278   	100.0%
topic31	16.0  	0     	278   	100.0%
topic32	15.0  	0     	239   	100.0%
topic33	15.0  	0     	221   	100.0%
topic34	12.0  	1     	108   	100.0%
topic35	12.0  	1     	139   	100.0%
topic36	13.0  	1     	159   	100.0%
topic37	14.0  	1     	158   	100.0%
topic38	16.0  	1     	259   	100.0%
topic39	15.0  	1     	267   	100.0%
topic4 	11.0  	1     	85    	100.0%
topic40	14.0  	1     	123   	100.0%
topic41	13.0  	1     	100   	100.0%
topic42	15.0  	1     	101   	100.0%
topic43	17.0  	1     	84    	100.0%
topic44	16.0  	1     	123   	100.0%
topic45	8.0   	1     	78    	100.0%
topic46	9.0   	1     	110   	100.0%
topic47	8.0   	1     	65    	100.0%
topic48	10.0  	1     	81    	100.0%
topic49	10.0  	1     	103   	100.0%
topic5 	12.0  	1     	125   	100.0%
topic6 	11.0  	1     	96    	100.0%
topic7 	11.0  	0     	111   	100.0%
topic8 	11.0  	1     	77    	100.0%
topic9 	10.0  	1     	106   	100.0%
Total Avg delay: 14.6 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	27.0  	1     	186   	100.0%
topic1 	30.0  	1     	308   	100.0%
topic10	28.0  	1     	432   	100.0%
topic11	24.0  	1     	145   	100.0%
